"Date-Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","RainTomorrow"
"2008-08-19-Perth",5.5,18.2,0,8,30,10,10,4,11,77,75,1025.9,1024.4,11.7,17,0,1,0
"2008-08-21-Perth",8.5,17.6,0,9,43,6,9,15,15,55,35,1038,1034.3,12.3,17,0,1,0
"2008-08-22-Perth",5.5,19.1,0,5,41,6,7,7,17,58,33,1034.8,1029.3,11.5,18.7,0,1,0
"2008-08-23-Perth",3.4,21.4,0,5,31,5,5,19,9,44,28,1026.6,1021.8,13.3,21,0,1,0
"2008-08-25-Perth",5,20.1,0,16,30,6,16,6,15,79,59,1022.4,1020.8,12.8,18.8,0,1,0
"2008-08-26-Perth",6.8,21.2,0,6,22,6,9,11,11,67,42,1024.8,1019.5,12.1,20.6,0,1,0
"2008-08-27-Perth",8.7,24.1,0,4,30,7,7,9,9,53,37,1017.3,1013.1,16,23.2,0,1,0
"2008-08-28-Perth",7.1,21.7,0,16,26,4,13,7,13,79,57,1014.9,1011.6,12.6,20.2,0,0,1
"2008-08-29-Perth",9.5,18.7,1.2,16,41,10,14,7,20,81,54,1014,1013.3,14.7,16.8,1,1,0
"2008-08-30-Perth",3.8,16.9,0.2,14,35,8,14,13,19,52,41,1023.1,1022.4,11.7,15.9,0,1,0
"2008-08-31-Perth",8.7,18.5,0,13,30,3,15,7,15,68,51,1025.1,1022.7,12.3,16.9,0,0,1
"2008-09-01-Perth",10.9,18.9,3.4,10,20,4,14,7,9,97,61,1024.8,1023.1,12.5,18.9,1,1,0
"2008-09-02-Perth",5.4,22.9,0.2,14,22,6,13,6,6,81,43,1024.9,1022,14.1,21.1,0,1,0
"2008-09-04-Perth",11.3,19.4,0,16,39,11,14,15,19,62,47,1022.5,1018.9,15.2,18.6,0,0,1
"2008-09-05-Perth",9.8,21.6,1.2,14,41,11,14,11,24,69,57,1021.9,1018.8,15,19.5,1,1,0
"2008-09-06-Perth",9.7,19.4,0,10,28,8,10,11,17,58,32,1024.1,1021.5,13.4,18.7,0,1,0
"2008-09-07-Perth",5.7,20.1,0,16,35,7,14,9,11,57,41,1026,1021.9,13.5,19.2,0,1,0
"2008-09-08-Perth",5.3,22.4,0,14,30,6,14,7,15,61,37,1022.8,1018.1,13.9,20.7,0,1,0
"2008-09-09-Perth",4.6,21.3,0,14,30,4,13,4,17,68,44,1018.7,1016.4,14.1,20.4,0,1,0
"2008-09-10-Perth",7.7,18.9,0,2,31,2,12,7,17,79,46,1017.7,1015.6,13.4,18.1,0,1,0
"2008-09-11-Perth",13.4,20.5,0.8,13,46,13,13,19,20,71,62,1014.1,1012.5,17.3,18.9,0,1,0
"2008-09-12-Perth",15.2,20.9,0.4,12,52,15,2,11,19,60,87,1011.4,1007.9,17,15.9,0,0,1
"2008-09-13-Perth",11.8,17.6,6,14,59,14,14,17,17,73,55,1013.5,1014.6,14,17.1,1,1,0
"2008-09-14-Perth",13.6,19.6,0,13,54,15,14,22,26,64,57,1015.5,1016,16.3,18.6,0,0,1
"2008-09-15-Perth",6.2,20.3,1.2,3,26,6,4,9,9,55,34,1023,1019.1,14.1,19.8,1,1,0
"2008-09-16-Perth",4.7,22.5,0,13,30,4,13,6,15,50,38,1012.2,1008,15.6,20.9,0,0,1
"2008-09-17-Perth",11.6,19,8.2,16,41,15,13,17,13,90,83,1007.8,1010.4,16,16.2,1,0,1
"2008-09-18-Perth",13.2,20,1.8,12,56,2,15,22,20,58,67,1010.8,1011.8,18.9,19.5,1,0,1
"2008-09-19-Perth",13.8,20.5,4,13,44,15,15,19,19,56,51,1016.8,1017.4,17.2,19,1,1,0
"2008-09-20-Perth",9.5,21.7,0.2,2,31,15,12,11,11,58,51,1021.2,1018.3,18.6,21,0,0,1
"2008-09-21-Perth",13,17,3.4,14,67,15,11,17,20,77,51,1010.4,1016.5,16.9,13.6,1,0,1
"2008-09-22-Perth",1,19,5.4,6,37,7,8,9,13,57,34,1028.8,1024.8,11.2,17.9,1,1,0
"2008-09-23-Perth",5.7,23.5,0,5,50,5,4,19,17,39,23,1022.8,1016.9,16.5,23,0,1,0
"2008-09-24-Perth",11.3,25.5,0,12,50,3,2,15,26,36,67,1011.5,1010.3,21.5,22,0,0,1
"2008-09-26-Perth",10.2,18.2,14.2,16,33,9,11,13,15,71,57,1016.5,1014.6,14.3,17.2,1,1,0
"2008-09-27-Perth",7.6,18.9,0,13,33,3,13,9,20,57,43,1023.8,1022.4,13.7,18,0,1,0
"2008-09-28-Perth",12.3,21.6,0.2,14,28,4,13,15,15,70,54,1024.4,1021.4,17.6,20.4,0,1,0
"2008-09-29-Perth",8.2,24.6,0,13,33,3,15,2,13,67,37,1018.1,1011.3,17.6,23.5,0,0,1
"2008-09-30-Perth",11.8,19.1,4.2,13,44,13,14,19,19,63,71,1010.8,1011.7,17.8,17.6,1,1,0
"2008-10-01-Perth",13,19.9,0.6,12,37,12,12,13,15,61,66,1013,1011.3,18.3,19.1,0,0,1
"2008-10-02-Perth",12.9,18.4,5,14,41,11,16,13,22,87,44,1015.9,1016.9,13.5,17.4,1,1,0
"2008-10-03-Perth",4.8,19.4,0,13,31,6,13,9,17,50,49,1024.6,1022.3,14.9,18,0,1,0
"2008-10-04-Perth",9,19.6,0.4,14,52,13,14,17,26,64,77,1021.5,1021.8,16.7,14.4,0,1,0
"2008-10-05-Perth",3.4,19,0.4,16,35,10,10,17,13,44,35,1031.1,1028.5,13.4,18.2,0,1,0
"2008-10-06-Perth",7.4,20.5,0,8,30,7,8,13,13,57,34,1033.5,1029.3,15.7,19.5,0,1,0
"2008-10-07-Perth",7.4,21.9,0,16,35,6,16,15,19,50,40,1031.4,1027.6,15.8,20.4,0,1,0
"2008-10-08-Perth",7.8,26.9,0,13,28,5,14,17,15,48,23,1026.9,1021.2,18.4,25.8,0,1,0
"2008-10-09-Perth",7.4,22.6,0,14,37,11,14,13,24,59,50,1022.4,1020.7,18.7,21,0,1,0
"2008-10-10-Perth",11.1,25.6,0,6,28,6,16,13,15,56,44,1022.3,1018.4,18.3,23.4,0,1,0
"2008-10-11-Perth",9.7,20.6,0,15,28,10,15,11,13,64,48,1019.6,1018.1,16.7,19.7,0,1,0
"2008-10-12-Perth",13.1,20.5,0,14,41,16,16,11,20,66,37,1022,1022.2,16.6,18.8,0,1,0
"2008-10-13-Perth",6.3,22.1,0,16,39,6,14,11,22,56,42,1026.6,1023.9,17.1,20.3,0,1,0
"2008-10-14-Perth",12.2,29.5,0,4,28,6,6,11,9,46,25,1023.3,1018.6,19.2,28.9,0,1,0
"2008-10-15-Perth",18.1,32.1,0,5,41,4,2,24,15,25,46,1011.7,1011.2,26.9,25.2,0,1,0
"2008-10-16-Perth",15.7,22.3,0,14,37,14,16,17,17,68,57,1014.6,1013,19.1,21,0,1,0
"2008-10-17-Perth",14.8,22,0,14,33,11,16,9,20,56,51,1018.3,1017.4,18.2,20.2,0,1,0
"2008-10-18-Perth",15.7,25.8,0,14,33,14,14,13,15,58,49,1022.7,1020.7,20.8,25,0,1,0
"2008-10-19-Perth",12.8,33.5,0,7,35,6,6,13,11,52,23,1021.6,1017.2,21.5,33,0,1,0
"2008-10-20-Perth",21.3,35.7,0,3,48,5,4,20,20,29,18,1014.9,1012.2,28.7,34.9,0,1,0
"2008-10-21-Perth",17.9,32.7,0,13,33,3,13,6,17,36,39,1012.9,1011.2,27.9,26.4,0,1,0
"2008-10-22-Perth",16.5,30.1,0,14,41,8,14,7,26,67,69,1015.1,1015.9,22.9,22.2,0,1,0
"2008-10-23-Perth",18.4,31.1,0,5,39,7,6,13,9,51,47,1014.1,1008.6,25.2,28.9,0,0,1
"2008-10-24-Perth",18,23,5,12,63,1,2,9,17,94,65,1009.8,1008,18.8,21.9,1,0,1
"2008-10-25-Perth",13.2,20.5,20.4,13,43,16,14,20,17,69,63,1016.8,1017.8,16.8,19,1,1,0
"2008-10-26-Perth",7.7,21.6,0.2,14,30,7,14,7,17,67,44,1019,1016.1,16,20.6,0,1,0
"2008-10-27-Perth",8.5,22.3,0,13,31,11,14,13,15,58,44,1013.8,1010.9,16.9,22.1,0,1,0
"2008-10-28-Perth",15.4,20.3,0,14,43,14,14,11,15,67,94,1005.2,1004.1,18,17.1,0,0,1
"2008-10-29-Perth",16.1,21.8,6.2,16,52,16,14,17,28,77,56,1011,1013.2,17.7,21.2,1,1,0
"2008-10-30-Perth",10.3,19.5,0.2,14,46,10,14,9,17,68,43,1020.9,1020.8,14.3,18.7,0,1,0
"2008-10-31-Perth",10,22.5,0,8,35,8,8,15,17,62,42,1025.7,1023.1,15,21.1,0,1,0
"2008-11-01-Perth",10.8,24.1,0,14,35,7,3,15,9,57,29,1022.4,1018,16.3,23.3,0,1,0
"2008-11-02-Perth",9.1,25.9,0,14,39,5,14,19,17,43,46,1013.7,1012,20.6,24,0,1,0
"2008-11-03-Perth",13.6,19.5,0,12,43,4,15,4,19,66,39,1013.8,1013.7,15.8,18.6,0,0,1
"2008-11-04-Perth",13.6,20.7,9.2,15,50,13,13,20,22,71,57,1014.9,1014.7,17.6,18.8,1,0,1
"2008-11-05-Perth",12.4,19.5,9,2,50,12,14,15,26,55,67,1011.2,1010.4,17,15.6,1,0,1
"2008-11-06-Perth",9.1,18.9,8.4,16,52,14,14,6,30,92,58,1014.3,1014.6,12.3,16.9,1,0,1
"2008-11-07-Perth",6.5,20,2.8,14,35,8,11,11,13,55,49,1023.3,1021.7,13.9,18.6,1,1,0
"2008-11-08-Perth",8.5,24.3,0,14,37,6,14,6,17,64,42,1022,1017.8,17.6,23.6,0,1,0
"2008-11-09-Perth",11.2,27.1,0,14,35,16,16,11,17,70,58,1015,1011.9,18.9,24.5,0,1,0
"2008-11-10-Perth",14.2,26.3,0,4,44,14,15,7,13,65,50,1011.9,1010,20.3,25.1,0,1,0
"2008-11-11-Perth",16.1,22.2,0,14,28,9,14,9,17,66,62,1011.4,1010.7,19.1,20.5,0,1,0
"2008-11-12-Perth",12.9,22.5,0,14,39,8,11,11,15,59,38,1014.1,1013.7,17.1,22.2,0,1,0
"2008-11-13-Perth",12.4,23.3,0,10,37,9,10,11,11,52,31,1019,1016.4,16.5,21.9,0,1,0
"2008-11-14-Perth",11.9,24.4,0,8,43,6,9,17,13,49,28,1021.1,1017.4,16.2,23.6,0,1,0
"2008-11-15-Perth",12.4,25.8,0,8,46,9,9,19,19,51,25,1021.6,1017.1,17,24.7,0,1,0
"2008-11-16-Perth",12.7,25.5,0,8,43,6,6,19,11,48,32,1019,1014.3,16.5,24.6,0,1,0
"2008-11-17-Perth",13.7,26.8,0,14,31,6,8,13,13,50,35,1015.4,1012.8,18.3,24.1,0,1,0
"2008-11-18-Perth",13.6,25.9,0,14,33,9,14,13,17,52,37,1014.2,1011.1,18.1,24.7,0,1,0
"2008-11-19-Perth",11,29.5,0,13,31,5,15,15,15,46,36,1008.1,1004.8,21.8,28.2,0,0,1
"2008-11-20-Perth",15.9,23.1,2.6,2,37,15,15,13,17,73,53,1004,1004.6,19.8,22.6,1,1,0
"2008-11-21-Perth",11.8,24.4,0.6,13,31,4,15,7,17,69,46,1008.6,1007.7,19.6,23.1,0,1,0
"2008-11-22-Perth",13.6,23.6,0.2,3,33,4,12,13,2,64,89,1005.7,1003.7,19.3,16.8,0,0,1
"2008-11-23-Perth",14.8,22.2,17.4,14,43,13,15,11,19,79,72,1002.1,1001.3,17.9,20,1,0,1
"2008-11-24-Perth",13.9,21.8,1.8,16,41,16,13,9,20,72,50,1007.9,1008,17.2,20.8,1,0,1
"2008-11-25-Perth",13.4,23.2,4,14,30,11,14,11,15,71,47,1011,1009.8,18,22.5,1,1,0
"2008-11-26-Perth",12.5,22.2,0.2,13,39,13,14,11,20,61,50,1009,1008.9,19.4,20.9,0,0,1
"2008-11-27-Perth",14.5,22.4,1.4,13,44,16,14,15,24,65,48,1013.1,1013.9,18.2,21.1,1,1,0
"2008-11-28-Perth",13.1,23.9,0.2,14,31,8,13,6,17,65,36,1020.1,1018.4,18.3,22.4,0,1,0
"2008-11-29-Perth",11.1,23.4,0,14,35,10,14,11,19,61,44,1018.7,1017.4,18.5,22.8,0,1,0
"2008-11-30-Perth",13.1,24.5,0,16,43,8,14,13,20,56,41,1018.8,1016,17.5,23,0,1,0
"2008-12-01-Perth",12.8,27.2,0,11,33,6,16,9,19,53,41,1016.4,1012.6,19.2,25.5,0,1,0
"2008-12-02-Perth",12.2,32.7,0,14,28,10,16,9,7,55,23,1009.3,1004.9,20.7,31.9,0,1,0
"2008-12-03-Perth",18.3,23.1,0.4,13,41,14,15,20,15,70,53,1002.5,1005.2,20.1,21.5,0,1,0
"2008-12-04-Perth",17,24.2,0.8,2,35,12,12,15,17,67,52,1010.2,1011,19.9,22.8,0,1,0
"2008-12-05-Perth",15,23.4,0.4,11,39,11,16,13,19,60,44,1015.5,1015,18.8,22.6,0,1,0
"2008-12-06-Perth",14.1,27.6,0,14,41,6,16,13,19,55,41,1017.4,1013.7,19,26,0,1,0
"2008-12-07-Perth",12.6,27.6,0,14,41,8,14,9,19,49,45,1010.2,1007.4,20.3,24.5,0,1,0
"2008-12-08-Perth",14.7,22.7,0,14,43,16,14,13,22,50,51,1010.5,1010.5,19.5,21.3,0,1,0
"2008-12-09-Perth",12.6,22.5,0,14,33,10,13,2,19,57,41,1011.4,1010.8,18.5,21.5,0,0,1
"2008-12-10-Perth",12.7,21.9,3.2,16,37,1,11,6,17,93,58,1011.4,1010.8,13.1,18.4,1,0,1
"2008-12-11-Perth",12.9,24.2,4.2,14,44,10,14,17,22,68,50,1015,1013.5,16.7,23.1,1,1,0
"2008-12-12-Perth",14,25.8,0,16,39,8,14,4,22,63,47,1017.3,1015.9,19.1,23.8,0,1,0
"2008-12-13-Perth",15.6,31.5,0,16,35,10,14,9,17,55,29,1019.5,1016.7,22.4,30.5,0,1,0
"2008-12-14-Perth",18.8,38.4,0,3,37,7,13,17,15,47,16,1014.6,1011.1,27.2,38,0,1,0
"2008-12-15-Perth",19.8,26.7,0,14,44,12,14,9,20,83,53,1011,1010.7,20.7,26.1,0,1,0
"2008-12-16-Perth",17.6,26.2,0,16,44,9,16,11,22,59,44,1014.7,1012.5,19.8,25.1,0,1,0
"2008-12-17-Perth",14.5,25.4,0,14,46,6,16,7,26,50,47,1017.3,1015.9,20,23,0,1,0
"2008-12-18-Perth",15.6,31.6,0,16,35,6,14,15,11,48,29,1015.9,1011.5,20.2,30.7,0,1,0
"2008-12-19-Perth",14.2,29.1,0,16,35,16,16,9,19,62,48,1007.8,1004.6,21.5,27.3,0,1,0
"2008-12-20-Perth",18.3,23.1,0.6,13,48,15,15,17,22,77,56,1005.6,1007.6,19.9,22,0,0,1
"2008-12-21-Perth",16,23.6,2,16,41,10,14,15,24,58,36,1014.4,1012.8,17.8,22.7,1,1,0
"2008-12-22-Perth",13.6,28,0,16,41,6,14,11,24,57,43,1014.1,1011.3,20,25.4,0,1,0
"2008-12-23-Perth",14.5,25.2,0,14,50,10,14,13,28,60,51,1011.3,1010.4,19.3,23.5,0,1,0
"2008-12-24-Perth",15.1,27.1,0,16,43,9,14,11,22,52,48,1013.2,1010.7,20.7,25.2,0,1,0
"2008-12-25-Perth",14.3,26.6,0,14,46,10,16,15,26,62,45,1012.5,1011.5,18.3,24.7,0,1,0
"2008-12-26-Perth",14.7,26.4,0,16,41,11,14,11,20,63,44,1014.7,1012.4,19.2,25.2,0,1,0
"2008-12-27-Perth",14.9,28.8,0,14,39,11,16,9,19,56,36,1013.2,1011.3,20.2,28.4,0,1,0
"2008-12-28-Perth",17,30.8,0,14,37,8,14,9,17,63,45,1014.3,1011.6,22.4,30.1,0,1,0
"2009-01-03-Perth",20.8,32.2,0,14,46,11,14,15,20,60,37,1012.4,1010.9,22.9,31.4,0,1,0
"2009-01-04-Perth",18.7,35,0,13,35,9,16,9,17,47,28,1016.8,1013,23.1,33.9,0,1,0
"2009-01-05-Perth",21.9,36.1,0,14,46,6,14,13,22,39,24,1014.3,1010.9,25.8,33.8,0,1,0
"2009-01-06-Perth",19.9,34.6,0,14,46,9,16,11,22,59,39,1014.1,1010.1,24,31.8,0,1,0
"2009-01-07-Perth",18.8,35.4,0,14,39,9,10,11,11,51,26,1014.1,1010.9,23.7,34.4,0,1,0
"2009-01-08-Perth",19.9,35.3,0,16,41,10,14,11,19,49,35,1014.3,1011.4,24.2,32.8,0,1,0
"2009-01-09-Perth",19.3,35,0,14,44,10,14,13,19,54,33,1015.4,1011.7,24.1,33.9,0,1,0
"2009-01-10-Perth",18.2,34.3,0,14,44,6,14,7,17,44,32,1012.7,1010.6,26.7,32,0,1,0
"2009-01-11-Perth",21.1,38.4,0,14,35,9,13,9,20,43,18,1009.3,1005.4,25.9,36.8,0,1,0
"2009-01-12-Perth",16.7,27.3,0,14,52,16,14,11,24,61,58,1007.3,1008.9,24.2,25.3,0,1,0
"2009-01-13-Perth",12,25.9,0.2,16,44,9,14,2,19,63,37,1017.5,1015,18,25.4,0,1,0
"2009-01-14-Perth",15.9,30.1,0,14,43,8,14,13,20,51,42,1017.2,1014.6,20.6,27.7,0,1,0
"2009-01-15-Perth",18.8,39.7,0,8,39,6,9,20,11,48,19,1016.4,1011.8,22.7,37.6,0,1,0
"2009-01-16-Perth",22.7,41.8,0,4,43,5,15,22,19,15,21,1010.5,1009.6,33.4,36.1,0,1,0
"2009-01-17-Perth",18.3,30.3,0,10,30,11,13,7,13,58,44,1015.3,1013.8,22.5,29.8,0,1,0
"2009-01-18-Perth",20.6,31.1,0,10,37,10,14,9,15,49,36,1015,1011.8,23.1,30.2,0,1,0
"2009-01-19-Perth",15.9,28.9,0,14,43,8,8,15,17,66,37,1016.4,1013.7,19.3,28,0,1,0
"2009-01-20-Perth",15.6,27.9,0,14,46,9,16,13,22,53,43,1018.2,1015.2,19,26.7,0,1,0
"2009-01-21-Perth",16.4,26.9,0,14,44,10,16,17,22,64,50,1015.8,1013.5,20.1,25,0,1,0
"2009-01-22-Perth",18.6,27.9,0,14,37,10,14,13,17,73,53,1013.4,1011.7,20.4,27.2,0,1,0
"2009-01-23-Perth",19.8,27.1,0,14,39,11,14,11,22,75,52,1013.5,1011.8,21.5,26.5,0,1,0
"2009-01-25-Perth",18.1,37.4,0,16,37,10,13,13,19,28,29,1012,1008.2,24.8,35,0,1,0
"2009-01-26-Perth",18.9,29.6,0,14,35,13,13,9,19,72,54,1007.3,1008.3,24.8,27.5,0,1,0
"2009-01-27-Perth",17.8,32.7,0,14,43,8,14,9,19,58,38,1007.8,1004.3,23.7,31.9,0,1,0
"2009-01-28-Perth",21.6,30.1,0,16,39,8,16,11,17,70,52,1003.4,1001.2,23.5,29.6,0,1,0
"2009-01-29-Perth",19.4,26.9,0,16,43,11,16,13,15,75,57,1007.8,1007.7,20.1,24.5,0,1,0
"2009-01-30-Perth",17.7,30.7,0,14,30,8,16,9,11,73,51,1010.4,1006.8,20.8,28.9,0,1,0
"2009-01-31-Perth",23.3,36,0,14,31,6,8,15,6,63,42,1008.6,1005.9,26.6,34.8,0,1,0
"2009-02-01-Perth",22.2,35.8,0.4,16,35,6,16,7,15,67,43,1011.2,1008.9,27.7,35.5,0,1,0
"2009-02-02-Perth",22.3,38.6,0,14,33,7,14,7,17,56,40,1010.2,1008.5,30.5,35.1,0,1,0
"2009-02-03-Perth",21.2,31.7,0,16,31,14,13,9,17,77,49,1010.2,1008.4,24.8,30.8,0,1,0
"2009-02-04-Perth",20,30.4,0,14,46,11,14,17,26,68,53,1012.4,1010.3,21.5,27.1,0,1,0
"2009-02-05-Perth",17.1,30.8,0,14,46,6,14,11,26,55,46,1011.2,1007.2,20.9,26.7,0,1,0
"2009-02-06-Perth",16,25.5,0,16,52,11,14,17,28,60,40,1009.4,1006.8,18.3,24,0,1,0
"2009-02-07-Perth",11.4,25.8,0,14,44,8,16,11,22,57,38,1013.9,1012.8,19,24.4,0,1,0
"2009-02-08-Perth",15.6,33.2,0,8,43,6,8,17,17,47,24,1017.6,1014.7,18.7,31,0,1,0
"2009-02-09-Perth",17.6,34.9,0,7,43,6,6,15,15,51,19,1017.7,1014.6,21.2,33.6,0,1,0
"2009-02-10-Perth",19.8,37.1,0,5,39,7,6,19,15,45,16,1015.9,1012.5,23.7,35.3,0,1,0
"2009-02-11-Perth",23.7,39.7,0,5,41,5,10,19,13,24,12,1012.1,1009.1,28.7,37.5,0,1,0
"2009-02-12-Perth",20.5,40.1,0,14,43,5,14,19,22,21,24,1006.8,1007.1,30.4,32.7,0,1,0
"2009-02-13-Perth",21.5,29.4,0,8,41,8,6,15,15,64,45,1013.2,1011.7,22.4,28.2,0,1,0
"2009-02-14-Perth",18.3,28.3,0,9,39,9,10,11,11,45,43,1009.2,1006.8,23.5,26.1,0,1,0
"2009-02-15-Perth",16.1,31.3,0.2,13,31,15,13,7,15,79,44,1007.9,1006.3,23,29.8,0,1,0
"2009-02-16-Perth",19.4,26.3,0,14,41,16,16,15,24,71,49,1010.9,1010.3,21.6,25.3,0,1,0
"2009-02-17-Perth",16.3,30.2,0,11,44,8,16,13,11,61,35,1013,1009.8,19.7,30.1,0,1,0
"2009-02-18-Perth",17.3,30.6,0,9,37,6,8,17,15,62,27,1013.4,1010,19.3,29.9,0,1,0
"2009-02-19-Perth",16.7,32.4,0,16,39,6,16,15,13,54,29,1013.7,1011.1,19.7,32,0,1,0
"2009-02-20-Perth",18.3,36.8,0,9,39,6,8,13,11,53,23,1015.2,1012.7,21.5,35.4,0,1,0
"2009-02-21-Perth",21.5,39.8,0,15,37,5,12,17,9,29,16,1011.4,1008.1,29,37.8,0,1,0
"2009-02-22-Perth",20.7,29.6,0,14,44,11,16,17,24,58,47,1012.3,1010.7,21.7,27.9,0,1,0
"2009-02-23-Perth",17.1,34.3,0,9,39,6,9,17,9,57,28,1013.1,1009.1,19.3,33.2,0,1,0
"2009-02-24-Perth",19.3,25.3,0,13,35,13,13,13,19,75,60,1006.4,1007.1,22.3,23,0,1,0
